# board=.../examples/04151_lcdi2c.bot.text.tap
# tool size=0.005000
# pass=1
-2.58002, 0.14068,-2.67009, 0.14068
-2.67009, 0.14068,-2.69261, 0.16319
-2.69261, 0.16319,-2.69261, 0.20823
-2.69261, 0.20823,-2.67009, 0.23075
-2.67009, 0.23075,-2.58002, 0.23075
-2.58002, 0.23075,-2.55750, 0.20823
-2.55750, 0.20823,-2.55750, 0.16319
-2.55750, 0.16319,-2.58002, 0.14068
-2.58002, 0.14068,-2.67009, 0.23075
-2.55750, 0.34635,-2.69261, 0.34635
-2.69261, 0.34635,-2.62506, 0.27879
-2.62506, 0.27879,-2.62506, 0.36887
-2.64757, 0.41691,-2.69261, 0.46194
-2.69261, 0.46194,-2.55750, 0.46194
-2.55750, 0.41691,-2.55750, 0.50698
-2.69261, 0.64509,-2.69261, 0.55502
-2.69261, 0.55502,-2.62506, 0.55502
-2.62506, 0.55502,-2.64757, 0.60006
-2.64757, 0.60006,-2.64757, 0.62257
-2.64757, 0.62257,-2.62506, 0.64509
-2.62506, 0.64509,-2.58002, 0.64509
-2.58002, 0.64509,-2.55750, 0.62257
-2.55750, 0.62257,-2.55750, 0.57754
-2.55750, 0.57754,-2.58002, 0.55502
-2.64757, 0.69313,-2.69261, 0.73817
-2.69261, 0.73817,-2.55750, 0.73817
-2.55750, 0.69313,-2.55750, 0.78321
-2.55750, 0.96936,-2.64757, 0.96936
-2.64757, 0.96936,-2.69261, 1.01440
-2.69261, 1.01440,-2.64757, 1.05944
-2.64757, 1.05944,-2.55750, 1.05944
-2.62506, 0.96936,-2.62506, 1.05944
